,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
166,Crazy,"Lost Frequencies",20700,https://open.spotify.com/track/1ZtEZjYb4e0V0gqwRYeeAY
167,"Symphony (feat. Zara Larsson)","Clean Bandit",20596,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
168,"Le Canzoni",Jovanotti,20590,https://open.spotify.com/track/6i6pQ4piEUaQBXrYFQh5dL
169,"Ti Fa Stare Bene",Caparezza,20561,https://open.spotify.com/track/4nnu4hEwa5oejaEMpizXxY
170,"Mi Gente","J Balvin",20500,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
171,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofía Reyes",20455,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
172,"Sogni appesi",Ultimo,20451,https://open.spotify.com/track/2HgBmx6tfhRO417ahshpeQ
173,Notti,"Sfera Ebbasta",20351,https://open.spotify.com/track/7yAiocKxHuo27L68vvQDPn
174,OK,"Robin Schulz",20285,https://open.spotify.com/track/3bWAqKDWg6u1davspr5IkS
175,"I'm Yours","Jason Mraz",20111,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
176,Successo,MadMan,19959,https://open.spotify.com/track/3dm91sRpZEcS2TShlHEdsr
177,"Felices los 4",Maluma,19806,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
178,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",19793,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l
179,"Glorious (feat. Skylar Grey)",Macklemore,19724,https://open.spotify.com/track/0CokSRCu5hZgPxcZBaEzVE
180,"Senza Pagare VS T-Pain (feat. T-Pain)",J-AX,19654,https://open.spotify.com/track/0YOUE1TlkgSbkNvWkZkEVp
181,Bimbi,"Charlie Charles",19341,https://open.spotify.com/track/7uPI3Q0Ke3Thl0z1xzvXFn
182,Trapano,MadMan,19304,https://open.spotify.com/track/0obdHfuDIl3oG5cxZZqvrO
183,Trankilo,"Vegas Jones",19167,https://open.spotify.com/track/4hwwDxMDxwNbCyUJuI5sLa
184,Bella,Wolfine,19143,https://open.spotify.com/track/3xcCix7Jv1Rp90YVmgo35D
185,Noccioline,"Carl Brave x Franco126",19115,https://open.spotify.com/track/7D7PP87gyUMopAuYOIrdLi
186,"Ric Flair Drip (with Metro Boomin)",Offset,19109,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
187,"Scooby Doo Pa Pa","Dj Kass",18960,https://open.spotify.com/track/7qwULjvTujatIaoWC1lu8b
188,"Fino all'imbrunire",Negramaro,18933,https://open.spotify.com/track/6CpNFssMc4OOKJ1mXlXD0o
189,"Ninna Nanna",Ghali,18880,https://open.spotify.com/track/3mUTbkV7xoVpoc4BWrGtlG
